city;lat;lon;right
Майкоп;44.60778;40.10583;
Барнаул;53.36056;83.76361;
Бийск;52.5364;85.2072;
Барнаул ;53.36056;83.76361;
Альметьевск;54.90442;52.3154;
Благовещенск;50.27961;127.5405;
Комсомольск-на-Амуре;50.55034;137.00995;
Ангарск;52.53667;103.88639;
Армавир;44.9892;41.1234;
Астрахань;46.34968;48.04076;
Иркутск;52.29778;104.29639;
Санкт-Петербург;59.93863;30.31413;
Калининград;54.70649;20.51095;
Уфа;54.74306;55.96779;
Белгород;50.61074;36.58015;
Братск;56.1325;101.61417;
Брянск;53.25209;34.37167;
Улан-Удэ;51.82721;107.60627;
Великие Луки;56.34;30.54517;
Владивосток;43.10562;131.87353;
Владимир;56.13655;40.39658;
Волгоград;48.71939;44.50183;
Нижний Новгород;56.32867;44.00205;
Вологда;59.2239;39.88398;
Воронеж;51.67204;39.1843;
Москва;55.75222;37.61556;
Киров;58.59665;49.66007;
Глазов;58.1393;52.658;
Горно-Алтайск;51.96056;85.91892;
Владикавказ;43.03667;44.66778;
Тюмень;57.15222;65.52722;
Орехово-Зуево;55.80672;38.96178;
Гатчина;59.57639;30.12833;
Коломна;55.07944;38.77833;
Грозный;43.31195;45.68895;
Махачкала;42.97638;47.50236;
Хабаровск;48.48271;135.08379;
Ростов-на-Дону;47.23135;39.72328;
Елец;52.62366;38.50169;
Чита;52.03171;113.50087;
Иваново;56.99719;40.97139;
Ижевск;56.84976;53.20448;
Магас;43.22257;44.77261;
Нальчик;43.49806;43.61889;
Казань;55.78874;49.12214;
Элиста;46.30778;44.25583;
Калуга;54.5293;36.27542;
Петропавловск-Камчатский;53.04444;158.65076;
Карачаевск;43.77399;41.91419;
Кемерово;55.33333;86.08333;
Ковров;56.35722;41.31917;
Сыктывкар;61.67642;50.80994;
Кострома;57.76647;40.92686;
Красноярск;56.01839;92.86717;
Симферополь;44.95719;34.11079;
Краснодар;45.04484;38.97603;
Лесниково;55.28222;65.3175;
Курган;55.45;65.33333;
Курск;51.73733;36.18735;
Липецк;52.60311;39.57076;
Магнитогорск;53.41861;59.04722;
Мичурино;52.8978;40.4907;Мичуринск
Саранск;54.1838;45.1749;
Мурманск;68.97917;33.09251;
Набережные Челны;55.72545;52.41122;
Томск;56.49771;84.97437;
Невинномысск;44.6333;41.9444;
Княгинино;55.82278;45.03489;
Нижневартовск;60.9344;76.5531;
Великий Новгород;58.52131;31.27104;
Новосибирск;55.0415;82.9346;
Норильск;69.3535;88.2027;
Омск;54.99244;73.36859;
Оренбург;51.7727;55.0988;
Орёл;52.96508;36.07849;
Пенза;53.20066;45.00464;
Пермь;58.01046;56.25017;
Петрозаводск;61.78491;34.34691;
Йошкар-Ола;56.63877;47.89078;
Тольятти;53.5303;49.3461;
Самара;53.20007;50.15;
Биробиджан;48.79284;132.92386;
Уссурийск;43.80291;131.94578;
Псков;57.8136;28.3496;
Пятигорск;44.04861;43.05944;
Екатеринбург;56.8519;60.6122;
Черкизово;55.97583;37.7875;
Мытищи;55.91163;37.73076;
Рыбинск;58.0446;38.84259;
Рязань;54.6269;39.6916;
Саратов;51.54056;46.00861;
Южно-Сахалинск;46.95407;142.73603;
Севастополь;44.58883;33.5224;
Архангельск;64.5401;40.5433;
Магадан;59.5638;150.80347;
Якутск;62.03389;129.73306;
Черкесск;44.22333;42.05778;
Ставрополь;45.0428;41.9734;
Новокузнецк;53.7557;87.1099;
Томск ;56.49771;84.97437;
Смоленск;54.7818;32.0401;
Сочи;43.59917;39.72569;
Сургут;61.25;73.41667;
Тамбов;52.73169;41.44326;
Тверь;56.85836;35.90057;
Королев;55.91417;37.82556;
Кызыл;51.71472;94.45338;
Тула;54.19609;37.61822;
Ульяновск;54.32824;48.38657;
Ухта;63.56705;53.68348;
Абакан;53.71556;91.42917;
Ханты-Мансийск;61.00417;69.00194;
Челябинск;55.15402;61.42915;
Череповец;59.13333;37.9;
Чебоксары;56.13222;47.25194;
Шадринск;56.0852;63.6335;
Новочеркасск;47.42018;40.09132;
Троицк;54.0979;61.5773;
Ярославль;57.62987;39.87368;
Люберцы;55.67719;37.89322;
Зерноград;46.84518;40.30834;
Анапа;44.89084;37.3239;
Арзамас;55.39485;43.83992;
Ачинск;56.2694;90.4993;
Балаково;52.02782;47.8007;
Балашов;51.5502;43.1667;
Белово;54.4165;86.2976;
Бирск;55.42111;55.54278;
Борисоглебск;51.36713;42.08494;
Бронницы;55.42112;38.26188;
Бугульминск;54.5378;52.7985;Бугульма
Бузулук;52.7807;52.2635;
Волгодонск;47.51361;42.15139;
Волхово;59.9258;32.33819;Волхов
Воркута;67.49884;64.05253;
Воткинск;57.04865;53.98717;
Выборг;60.70763;28.75283;
Выкса;55.3175;42.17444;
Гуково;48.06212;39.9355;
Ялте;44.50218;34.16624;Ялта
Дзержинск;56.24143;43.45539;
Димитровград;54.21386;49.61838;
Дмитров;56.34485;37.52041;
Рыбное;54.72774;39.51731;
Елабуга;55.76127;52.06493;
Ессентуки;44.04444;42.86056;
Жуковский;55.59528;38.12028;
Шахты;47.70911;40.21443;
Сосновый Бор;59.8996;29.08574;
Ишим;56.11281;69.49015;
Каменск-Шахтинский;48.31779;40.25948;
Камышин;50.09833;45.41601;
Королёв;55.91417;37.82556;Королев
Кумертау;52.76667;55.78333;
Лениногорск;54.60256;52.46087;
Лесосибирск;58.23583;92.48278;
Ливны;52.42534;37.60689;
Миасс;55.045;60.10833;
Красногорск;55.82036;37.33017;
Муром;55.575;42.0426;
Нефтекамск;56.092;54.2661;
Нижнекамск;55.63657;51.82447;
Нижний Тагил;57.91944;59.965;
Новороссийск;44.72439;37.76752;
Новотроицк;51.20301;58.32665;
Новоуральск;57.24389;60.08389;
Обнинск;55.09681;36.61006;
Одинцово;55.67798;37.27773;
Озерск;55.75556;60.70278;
Орск;51.20487;58.56685;
Павлово;55.9686;43.0912;
Покров;55.91797;39.17242;
Таганрог;47.23617;38.89688;
Мирный;62.53528;113.96111;
Ростове-на-Дону;47.23135;39.72328;Ростов-на-Дону
Рубцовск;51.51473;81.20613;
Саров;54.93583;43.32352;
Черемушки;55.66473;37.56135;
Михайловка;50.06;43.2379;
Северск;56.60056;84.88639;
Сибай;52.71806;58.66583;
Снежинск;56.085;60.73139;
Орел;52.96508;36.07849;
Старый Оскол;51.29667;37.84167;
Стерлитамак;53.62462;55.95015;
Ступино;54.90083;38.07083;
Тара;56.89436;74.37096;
Нерюнгри;56.66637;124.63825;
Верхняя Пышма;56.97047;60.58219;
Азов;47.10779;39.41648;
Тобольск;58.19807;68.25457;
Трехгорный;54.815;58.45917;
Тутаев;57.88529;39.5406;
Ахтубинск;48.27955;46.17217;
Протвино;54.86821;37.21583;
Знаменск;48.5842;45.7338;
Новозыбково;52.5396;31.9275;Новозыбков
Дербент;42.06779;48.28987;
Каспийск;42.88165;47.63919;
Славянск-на-Кубани;45.2558;38.1256;
Тихорецк;45.85472;40.12528;
Междуреченск;53.69417;88.06028;
Прокопьевск;53.9059;86.719;
Белорецк;53.96306;58.39806;
Апатиты;67.56414;33.4031;
Волжский;48.78583;44.77973;
Туапсе;44.1053;39.0802;
Домодедово;55.4413;37.75367;
Клин;56.33333;36.73333;
Фрязино;55.96056;38.04556;
Миллерово;48.92265;40.39673;
Новокуйбышевск;53.0959;49.9462;
Сызрань;53.1585;48.4681;
Северодвинск;64.5635;39.8302;
Железноводск;44.13944;43.01972;
Ишимбай;53.45446;56.04149;
Октябрьский;54.48147;53.47103;
Салават;53.38365;55.90773;
Усинск;65.99389;57.52806;
Златоуст;55.17111;59.65083;
Новошахтинск;47.76037;39.93335;
Чистополь;55.36311;50.64244;
Шуя;56.84865;41.38833;
Энгельс;51.48389;46.10528;
Юрга;55.72306;84.88611;
