"","uni","uni_id","profile","belongs","region","residence","military_dep","n_facs","av_price","n_studs","int_stud","n_teach","grad_wage","forbes","raex","tuit","e4","e5","e6","e8","wos","scopus","rsci","rnd","total_income","square","phd_share","pps","rnd_private","pk","filial","info_vuz","info_pr","ege19","pop","city"
"1","Адыгейский государственный университет, г. Майкоп","uni198","классический","государственный","Республика Адыгея",1,"0",14,79033,6667,0,418,31584.2877030162,1,1,NA,2044.22,158.43,65,5.75,3.993,17.0247,1014.9843,39626.1,741335,60471,90.36,363,27054.39,4179,0,1,1,60.4558704453441,0.199603616133519,"Майкоп"
"2","Алтайский государственный аграрный университет, г. Барнаул","uni181","аграрный","государственный","Алтайский край",1,"0",6,76322,5035,0,265,19963,1,1,NA,2082.59,179.68,70,63.45,23.2716,8.4624,673.6896,30907.5,508048.9,76508,85.03,258,8877.78,3018.2,0,1,1,54.7450320512821,0.170431154381085,"Барнаул"
"3","Алтайский государственный гуманитарно-педагогический университет им. В.М. Шукшина, г. Бийск","uni254","педагогический","государственный","Алтайский край",1,"0",7,92252.3333333333,7987,1,575.666666666667,21179.1666666667,1,1,NA,2214.38,202.46,70,3.14,18.291,15.5454,201.1698,5760,188887,15243,88.28,78,4429.62,1009.05,0,0,1,59.7467213114754,0.447183588317107,"Бийск"
"4","Алтайский государственный медицинский университет, г. Барнаул ","uni486","медицинский","государственный","Алтайский край",1,"0",5,147400,6000,1,550,22158,1,1,NA,1780.2,212.13,85,72.88,91.3906,67.802,445.4226,109283.1,1012486.6,56049,76.66,406,69438.18,4885.9,0,1,1,73.4883468834688,0.264888734353268,"Барнаул "
"5","Алтайский государственный педагогический университет, г. Барнаул","uni126","педагогический","государственный","Алтайский край",1,"0",6,79905,6000,0,385,19249,1,1,NA,1570.19,160.01,70,3.79,11.2098,7.4732,1204.0958,28098.2,528212.1,42861,78.76,314,20881,3720.65,0,1,1,66.5286821705426,0.235681502086231,"Барнаул"
"6","Алтайский государственный технический университет им. И.И. Ползунова, г. Барнаул","uni139","технический","государственный","Алтайский край",1,"1",9,84708,9600,1,700,21948,1,1,NA,1685.53,187.37,75,5.2,73.2564,101.6158,1901.9532,47325.4,1114642,117213,73.5,646,37687.64,6840.5,0,1,1,63.9873315363881,0.416968011126565,"Барнаул"
"7","Алтайский государственный университет, г. Барнаул","uni78","классический","государственный","Алтайский край",1,"0",12,92593,13300,1,1444,22162,2,1,NA,2659.27,209.8,65,3.75,249.9915,216.147,2154.5485,194069.6,1629199.2,54050,81.82,545,72626.7,9048.3,0,1,1,73.5474099099099,0.357941585535466,"Барнаул"
"8","Альметьевский государственный нефтяной институт","uni618","технический","государственный","Республика Татарстан",1,"0",1,133619,1768,0,170,25257.7058823529,1,1,NA,1849.72,137.57,85,3.55,8.9238,19.6407,262.4598,34710.9,288001.9,17872,60.68,139,16415.9,1560.55,0,1,1,66.8381742738589,0.17086230876217,"Альметьевск"
"9","Амурская государственная медицинская академия, г. Благовещенск","uni381","медицинский","государственный","Амурская область",0,"0",7,120190.48427673,5852.74006223957,0,449.560164864126,31584.2877030162,1,1,NA,2952.93,172.94,85,72.05,13.286,7.9716,410.9378,15415,606826.6,38142,78.14,182,2788.24,1733,0,0,1,61.8682481751825,0.25086230876217,"Благовещенск"
"10","Амурский государственный университет, г. Благовещенск","uni25","классический","государственный","Амурская область",0,"0",7,120190.48427673,5852.74006223957,0,449.560164864126,31584.2877030162,1,1,NA,2308.2,189.92,65,4.86,23.9051,28.6972,924.6537,48088.7,802098.3,44861,71.8,277,34001.75,3708.8,0,0,1,62.1514705882353,0.542858136300417,"Благовещенск"
